               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.021048,            0.025186,           0.0012814,             0.98336,             0.99686,             0.99261,             0.69822,            0.015155,            0.021909,          0.00059045,             0.00406,             0.00406,             0.00406
                 122,            0.021553,            0.025715,           0.0013287,             0.99157,             0.99216,             0.99279,             0.70005,            0.015314,            0.021679,          0.00060028,           0.0040105,           0.0040105,           0.0040105
                 123,            0.020944,            0.023732,           0.0011961,             0.98817,             0.99686,             0.99218,              0.6893,            0.015516,            0.021962,          0.00057569,            0.003961,            0.003961,            0.003961
                 124,            0.020935,            0.025359,           0.0011525,             0.98317,             0.99608,             0.99161,             0.67671,            0.015965,            0.022466,          0.00056859,           0.0039115,           0.0039115,           0.0039115
                 125,             0.02114,            0.024397,           0.0013177,             0.99003,             0.98825,             0.99168,             0.69224,            0.015327,             0.02242,          0.00056667,            0.003862,            0.003862,            0.003862
                 126,             0.02039,            0.023296,           0.0010957,              0.9838,             0.99144,             0.99223,             0.69823,            0.015443,            0.022007,          0.00054602,           0.0038125,           0.0038125,           0.0038125
                 127,            0.020579,            0.024865,           0.0013012,             0.98535,             0.99578,             0.99139,             0.69008,            0.015353,            0.022064,          0.00053747,            0.003763,            0.003763,            0.003763
                 128,            0.020985,            0.024805,           0.0013265,             0.98262,             0.99626,             0.99156,             0.69506,            0.015181,              0.0219,          0.00056481,           0.0037135,           0.0037135,           0.0037135
                 129,             0.02016,            0.024999,          0.00097649,             0.98608,             0.99569,             0.99174,             0.70407,              0.0152,            0.021659,          0.00054916,            0.003664,            0.003664,            0.003664
                 130,            0.020256,            0.024288,           0.0015695,              0.9859,             0.99474,             0.99265,             0.70096,            0.015209,            0.022288,          0.00052434,           0.0036145,           0.0036145,           0.0036145
                 131,            0.020557,            0.024211,           0.0012439,             0.98197,             0.99686,             0.99177,             0.70323,            0.015328,            0.022141,          0.00052029,            0.003565,            0.003565,            0.003565
                 132,            0.020146,            0.023846,           0.0013191,             0.98567,             0.99686,             0.99223,             0.69951,            0.015144,            0.022769,          0.00054603,           0.0035155,           0.0035155,           0.0035155
                 133,            0.019879,            0.024954,           0.0012204,             0.98838,             0.99284,               0.992,             0.69747,            0.015372,            0.022308,           0.0005468,            0.003466,            0.003466,            0.003466
                 134,            0.020466,            0.024554,          0.00097867,             0.98154,             0.99602,             0.99268,             0.69531,            0.015139,            0.022403,          0.00061149,           0.0034165,           0.0034165,           0.0034165
                 135,            0.020524,            0.024002,           0.0017641,             0.98279,             0.99677,             0.99121,             0.70026,            0.015504,            0.022468,          0.00054988,            0.003367,            0.003367,            0.003367
                 136,            0.020145,            0.025069,           0.0010058,             0.98168,             0.99646,             0.99079,             0.69779,            0.015327,            0.022016,          0.00059919,           0.0033175,           0.0033175,           0.0033175
                 137,            0.019933,            0.023958,           0.0016686,             0.98017,              0.9963,             0.99108,             0.69343,            0.015489,            0.021843,          0.00055939,            0.003268,            0.003268,            0.003268
                 138,            0.020227,            0.024138,           0.0015677,             0.98095,             0.99633,             0.99027,             0.70023,            0.015122,             0.02174,          0.00054835,           0.0032185,           0.0032185,           0.0032185
                 139,            0.019997,            0.023991,           0.0011283,             0.98292,             0.99686,             0.99201,             0.69426,            0.015518,              0.0226,          0.00053139,            0.003169,            0.003169,            0.003169
                 140,            0.019827,            0.024183,           0.0010859,             0.98457,             0.99518,             0.99234,             0.69127,            0.015293,            0.022222,          0.00051052,           0.0031195,           0.0031195,           0.0031195
                 141,             0.01986,            0.023679,          0.00074951,             0.98369,             0.99644,             0.99205,             0.70199,            0.015168,            0.022234,          0.00051329,             0.00307,             0.00307,             0.00307
                 142,            0.019762,            0.022934,           0.0012062,             0.98234,             0.99468,             0.99231,             0.70105,            0.015391,            0.022963,           0.0005374,           0.0030205,           0.0030205,           0.0030205
                 143,            0.019522,            0.024315,          0.00079419,             0.98674,             0.99686,             0.99259,             0.70444,            0.015098,            0.022547,          0.00054089,            0.002971,            0.002971,            0.002971
                 144,            0.020423,            0.024182,           0.0011812,             0.98571,             0.99686,             0.99303,             0.70605,            0.015088,            0.022028,          0.00054864,           0.0029215,           0.0029215,           0.0029215
                 145,            0.020125,            0.023371,           0.0013611,             0.98599,             0.99504,             0.99229,             0.70363,            0.015098,            0.022007,          0.00055755,            0.002872,            0.002872,            0.002872
                 146,             0.01965,            0.024325,           0.0011934,             0.98212,             0.99486,             0.99163,             0.70851,            0.014894,            0.022162,          0.00064851,           0.0028225,           0.0028225,           0.0028225
                 147,            0.019933,            0.023434,          0.00096737,              0.9849,             0.99007,             0.99104,             0.70705,            0.015113,            0.022009,          0.00058519,            0.002773,            0.002773,            0.002773
                 148,            0.019958,            0.022386,          0.00094866,             0.98438,             0.99613,             0.99162,              0.7017,            0.014913,            0.022173,          0.00056948,           0.0027235,           0.0027235,           0.0027235
                 149,            0.019712,            0.023506,          0.00091299,             0.98453,             0.99686,             0.99068,              0.6945,            0.015116,            0.022797,          0.00052631,            0.002674,            0.002674,            0.002674
                 150,            0.020267,            0.023471,            0.001021,             0.98404,             0.99686,             0.99195,             0.69968,            0.014943,            0.022815,          0.00052093,           0.0026245,           0.0026245,           0.0026245
                 151,            0.019913,            0.024046,           0.0010811,             0.98466,             0.99686,             0.99114,             0.71006,             0.01498,            0.022196,          0.00052115,            0.002575,            0.002575,            0.002575
                 152,            0.019059,            0.023734,          0.00063129,             0.98529,             0.99686,              0.9921,             0.70344,            0.015078,            0.022532,          0.00051899,           0.0025255,           0.0025255,           0.0025255
                 153,            0.019518,            0.024015,           0.0010053,             0.98447,             0.99606,             0.99258,             0.70639,            0.015025,             0.02279,          0.00053686,            0.002476,            0.002476,            0.002476
                 154,            0.019424,            0.023961,           0.0012056,             0.99052,              0.9938,             0.99237,             0.70539,            0.014946,            0.022259,          0.00052333,           0.0024265,           0.0024265,           0.0024265
